"hill0","hill1","hill2","Nu","M","Jm","Sm","J","timesteps"
234,9.30709546978826,2.05622542810615,0.221772240987048,0.21679873270914,10000,1000,1000,1000
357,22.0430795833088,2.91732306435622,0.537035336019471,0.0304458655882627,10000,1000,1000,1000
157,5.12743980773694,1.65947009800829,0.103920308221132,0.205054446961731,10000,1000,1000,1000
404,32.728411059293,3.56529117733057,0.452581743523478,0.389721128717065,10000,1000,1000,1000
321,16.6739774914701,2.57303561595904,0.46652604737319,0.0084356399718672,10000,1000,1000,1000
246,10.4290187742336,2.14759104712246,0.245172998635098,0.182919186819345,10000,1000,1000,1000
313,28.1749944897232,3.61415302323904,0.178262917371467,0.533564332919195,10000,1000,1000,1000
445,56.0099519117163,5.0721770798462,0.455379335582256,0.598841578792781,10000,1000,1000,1000
398,30.1633417559411,3.40936210834964,0.599834966892376,0.0605049574747682,10000,1000,1000,1000
365,26.2843108604606,3.22790979928864,0.419270212808624,0.318827090319246,10000,1000,1000,1000
316,18.0203928883333,2.69216687127138,0.351407595584169,0.269640483520925,10000,1000,1000,1000
147,4.30540024437011,1.55006556777351,0.202858855761588,0.00805686386302113,10000,1000,1000,1000
149,4.58249555730235,1.59320402889434,0.0369360190350562,0.232685499312356,10000,1000,1000,1000
229,9.11695118251636,2.04444626173003,0.171908673550934,0.27194011984393,10000,1000,1000,1000
78,2.29092551524045,1.27066740534798,0.0170167897827923,0.120398556534201,10000,1000,1000,1000
298,14.8821030891153,2.4689407256711,0.398696469236165,0.0861727194394916,10000,1000,1000,1000
355,33.1881349148571,3.83080117375758,0.194534886907786,0.522356460336596,10000,1000,1000,1000
373,26.2284860702848,3.19388817558727,0.484455920057371,0.235365563677624,10000,1000,1000,1000
338,19.100638903762,2.73696656521649,0.429660663753748,0.0924649810418487,10000,1000,1000,1000
115,3.03763630293658,1.38036132338,0.191203032340854,0.00870652254670858,10000,1000,1000,1000
363,22.6966825558796,2.95744240380925,0.452659324323758,0.18554285983555,10000,1000,1000,1000
371,26.6187115496617,3.22820156890603,0.4215348795522,0.263264089403674,10000,1000,1000,1000
240,12.5959251698789,2.39917468390876,0.16591752958484,0.372549425577745,10000,1000,1000,1000
237,10.498893772597,2.1726944452894,0.174517277721316,0.260984087269753,10000,1000,1000,1000
195,7.82118834229822,1.95383479154536,0.0931822983082384,0.260277646081522,10000,1000,1000,1000
217,10.1453556077874,2.17863025158824,0.0626050625927746,0.368306605657563,10000,1000,1000,1000
10,1.0943259931486,1.02441802811823,0.00573635129258037,0.0120905439835042,10000,1000,1000,1000
263,11.3373151920327,2.20548990547273,0.339397105341777,0.0187623212579638,10000,1000,1000,1000
344,19.7525053274063,2.77358658027875,0.553214051574469,0.000778170861303806,10000,1000,1000,1000
396,31.5556993350347,3.52470110534638,0.406630678335205,0.340384106570855,10000,1000,1000,1000
452,48.7511122100846,4.47431296924356,0.48855412658304,0.486761837918311,10000,1000,1000,1000
255,11.1529464045014,2.21163585857918,0.285170555580407,0.148770845448598,10000,1000,1000,1000
437,46.0051764683959,4.3802782352735,0.452240884909406,0.504309616377577,10000,1000,1000,1000
106,3.17852291281818,1.41321982351711,0.0489061446860433,0.109640088491142,10000,1000,1000,1000
418,33.5287410957886,3.56592685570846,0.506580948550254,0.329130558623001,10000,1000,1000,1000
234,10.4745796337668,2.17273221075504,0.177301560435444,0.233443237887695,10000,1000,1000,1000
286,26.4264208135877,3.61120339742021,0.0665671119466424,0.574146920861676,10000,1000,1000,1000
219,7.81799307395813,1.91144650625806,0.320417805947363,0.010698180925101,10000,1000,1000,1000
202,7.9314491404399,1.94867198004559,0.171034006867558,0.176909389067441,10000,1000,1000,1000
261,16.9567490797795,2.77980085506678,0.114946018019691,0.477776231523603,10000,1000,1000,1000
286,14.2285573285065,2.43803728246616,0.413136066729203,0.053503262065351,10000,1000,1000,1000
303,22.8291319960022,3.17930652965981,0.199444865668193,0.459959233319387,10000,1000,1000,1000
188,6.63203416868012,1.81480298498794,0.0787469568662345,0.271394383348525,10000,1000,1000,1000
167,4.98371848208228,1.62600568451586,0.168550802813843,0.0998351477086544,10000,1000,1000,1000
434,48.2024786416025,4.56758657860358,0.437273851968348,0.560412051295862,10000,1000,1000,1000
143,4.81998928788046,1.6340243077456,0.0371922869235277,0.208816223870963,10000,1000,1000,1000
308,15.2133058246344,2.48444735952939,0.36649332032539,0.130580183817074,10000,1000,1000,1000
117,3.25040874428373,1.41333167502416,0.0834112378768623,0.105456858733669,10000,1000,1000,1000
266,13.9641535131223,2.46044829367914,0.262983250804245,0.23524132235907,10000,1000,1000,1000
268,16.0761971895134,2.65587319799007,0.132357985479757,0.429463725630194,10000,1000,1000,1000
96,2.86295244628801,1.36736055657044,0.00966031718999147,0.148234741576016,10000,1000,1000,1000
301,17.9938863203636,2.74500546256092,0.251495213527232,0.311092028673738,10000,1000,1000,1000
372,26.7813120394641,3.23976881009779,0.442269170237705,0.238678669463843,10000,1000,1000,1000
332,19.0693467076918,2.74597028860153,0.376269305543974,0.179980449099094,10000,1000,1000,1000
325,18.3631365123734,2.701140421486,0.378006768180057,0.260356721375138,10000,1000,1000,1000
252,10.3733836255913,2.13510062729259,0.315942294336855,0.131295918580145,10000,1000,1000,1000
372,23.2042569825587,2.96788745770768,0.553849557274953,0.0753703668247908,10000,1000,1000,1000
356,35.8546185353061,4.07976761643656,0.255427045980468,0.561258065840229,10000,1000,1000,1000
406,36.4512371689695,3.83403240524202,0.444801934249699,0.570244776830077,10000,1000,1000,1000
110,3.5677385270326,1.48254012494848,0.00212812442332506,0.216875274851918,10000,1000,1000,1000
369,24.7774099819187,3.09394453176251,0.438952525751665,0.172800100268796,10000,1000,1000,1000
274,13.4070482366099,2.3856213828016,0.221757341036573,0.32336727459915,10000,1000,1000,1000
315,25.2850205920749,3.33220038520243,0.234364469535649,0.486749610956758,10000,1000,1000,1000
218,12.8615393384608,2.48960589538677,0.00486735049635172,0.476623357599601,10000,1000,1000,1000
216,12.498513956572,2.43627911962619,0.0242093718610704,0.485243053548038,10000,1000,1000,1000
486,55.3250622626877,4.73153282737474,0.598053360823542,0.312114840745926,10000,1000,1000,1000
501,70.9452202980899,5.72396739628169,0.55522299092263,0.559270522836596,10000,1000,1000,1000
177,5.85206346879128,1.73005591540717,0.208456044690683,0.0577904323115945,10000,1000,1000,1000
130,3.92289605137991,1.51210896862071,0.0628775209654123,0.151918069180101,10000,1000,1000,1000
324,18.0272758154441,2.6833247466942,0.398155401460826,0.133050292544067,10000,1000,1000,1000
362,24.4740176072021,3.09371480899412,0.507458937820047,0.0668134743813425,10000,1000,1000,1000
376,24.4975139186445,3.05125498117384,0.460348074138164,0.241822386486456,10000,1000,1000,1000
138,4.39024703380021,1.57332645265231,0.0968171210959554,0.157690967526287,10000,1000,1000,1000
